Punto,Fecha,Hora,Especie,N,Observaciones
LR01_1,18-12-20,07:50:00,L. gymnocercus,1,Cachorro punta de cola negra
LR01_1,18-12-20,17:25:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,18-12-20,20:17:00,C. chinga,1,husmeando hoyo
LR01_1,19-12-20,06:11:00,L. gymnocercus,1,cachorro punta de cola negra
LR01_1,19-12-20,06:46:00,L. gymnocercus,1,pasa para la derecha y luego para la izquierda
LR01_2,15-11-20,01:33:00,D. albiventris,1,
LR01_2,15-11-20,01:46:00,D. albiventris,1,
LR01_2,15-11-20,07:35:00,C. chinga,1,
LR01_2,16-11-20,22:38:00,D. albiventris,1,
LR01_2,17-11-20,03:12:00,A. axis,2,
LR01_2,17-11-20,04:34:00,D. novemcinctus,1,
LR01_2,17-11-20,04:51:00,C. chinga,1,
LR01_2,17-11-20,21:53:00,D. albiventris,1,
LR01_2,17-11-20,22:38:00,D. hybridus,1,
LR01_2,17-11-20,23:38:00,D. hybridus,1,
LR01_2,18-11-20,03:28:00,D. hybridus,1,
LR01_2,18-11-20,15:23:00,L. gymnocercus,1,
LR01_2,18-11-20,20:59:00,D. hybridus,1,
LR01_2,18-11-20,21:54:00,D. albiventris,1,
LR01_2,19-11-20,02:27:00,D. hybridus,1,
LR01_2,19-11-20,05:03:00,D. novemcinctus,1,
LR01_2,19-11-20,20:50:00,D. hybridus,1,
LR01_2,19-11-20,22:43:00,E. sexcinctus,1,
LR01_2,20-11-20,21:24:00,D. albiventris,1,
LR01_2,20-11-20,21:43:00,D. hybridus,2,
LR01_2,21-11-20,00:51:00,D. hybridus,1,
LR01_2,21-11-20,03:28:00,D. hybridus,2,
LR01_2,21-11-20,03:55:00,C. chinga,1,
LR01_2,21-11-20,05:23:00,D. hybridus,1,
LR01_2,22-11-20,19:14:00,L. gymnocercus,1,
LR01_2,22-11-20,23:01:00,D. hybridus,1,
LR01_2,24-11-20,04:34:00,C. chinga,1,
LR01_2,24-11-20,04:49:00,D. novemcinctus,1,
LR01_2,24-11-20,23:17:00,D. hybridus,1,
LR01_2,25-11-20,04:09:00,D. hybridus,1,¿juvenil?
LR01_2,25-11-20,09:54:00,D. novemcinctus,1,
LR01_2,25-11-20,10:51:00,D. hybridus,1,
LR01_2,25-11-20,18:15:00,L. gymnocercus,1,
LR01_2,26-11-20,10:03:00,D. hybridus,1,
LR01_2,27-11-20,04:35:00,C. thous,1,por patas bien negras atrás y porque me parece que la cola tiene bastante volumen
LR01_2,27-11-20,15:05:00,D. hybridus,1,
LR01_2,28-11-20,19:13:00,A. axis,1,
LR01_2,29-11-20,21:06:00,L. geoffroyi,1,"80% que es, pero esta lejos y se ve borroso con zoom"
LR01_2,30-11-20,00:16:00,E. sexcinctus,1,
LR01_2,30-11-20,01:40:00,E. sexcinctus,1,
LR01_2,30-11-20,17:00:00,C. thous,1,orinando
LR01_2,30-11-20,20:34:00,C. chinga,1,
LR01_2,01-12-20,02:34:00,D. novemcinctus,2,
LR01_2,01-12-20,04:48:00,C. chinga,1,
LR01_2,01-12-20,19:18:00,C. chinga,1,
LR01_2,02-12-20,16:40:00,D. hybridus,1,husmeando hoyo
LR01_2,02-12-20,19:48:00,C. chinga,1,
LR01_2,03-12-20,04:25:00,C. chinga,1,
LR01_2,03-12-20,04:27:00,E. sexcinctus,1,
LR01_2,03-12-20,04:59:00,C. chinga,1,
LR01_2,03-12-20,19:10:00,C. chinga,1,
LR01_2,04-12-20,00:22:00,D. hybridus,1,"juvenil, cerca del hoyo ¿cueva?"
LR01_2,04-12-20,03:01:00,D. novemcinctus,1,
LR01_2,04-12-20,15:48:00,L. gymnocercus,1,
LR01_2,04-12-20,19:25:00,L. gymnocercus,1,en el fondo se obs un animal desplazandose ¿zorillo?
LR01_2,04-12-20,23:29:00,D. albiventris,1,
LR01_2,05-12-20,16:39:00,D. hybridus,1,
